1,Game of Thrones,战争/剧情/魔幻/历史/古装/史诗第7季完结(收藏 112765),2011 美剧
2,The Big Bang Theory,喜剧第11季连载中(收藏 76766),2007 美剧
3,Marvel's Agents of S.H.I.E.L.D.,动作/剧情/科幻第5季连载中(收藏 62901),2013 美剧
4,Westworld 2016,科幻/惊悚/悬疑/西部准备开播第2季(收藏 60334),2016 美剧
5,The Walking Dead,恐怖/丧尸/灾难第8季连载中(收藏 59168),2010 美剧
6,The Gifted,动作/科幻第1季完结(收藏 48726),2017 美剧
7,The Flash,动作/剧情/科幻/悬疑第4季连载中(收藏 45782),2014 美剧
8,House of Cards,剧情第5季完结(收藏 37519),2013 美剧
9,Sherlock,剧情/悬疑/罪案第4季完结(收藏 36995),2010 英剧
10,Black Mirror,剧情/科幻/悬疑第4季完结(收藏 36319),2011 美剧
11,Shameless US,剧情第8季完结(收藏 35548),2010 美剧
12,Arrow,动作/暴力第6季连载中(收藏 31132),2012 美剧
13,Stranger Things,剧情/科幻/恐怖/惊悚第2季完结(收藏 30958),2016 美剧
14,Person Of Interest,动作/科幻/罪案本剧完结(收藏 28555),2011 美剧
15,Gotham,动作/剧情/科幻第4季连载中(收藏 28428),2014 美剧
16,Prison Break,动作/悬疑本剧完结(收藏 27145),2005 美剧
17,Young Sheldon,喜剧第1季连载中(收藏 26397),2017 美剧
18,Criminal Minds,剧情/悬疑/罪案第13季连载中(收藏 25428),2005 美剧
19,Better Call Saul,剧情/律政/罪案第3季完结(收藏 24606),2015 美剧
20,The Strain,剧情/魔幻/恐怖/惊悚/灾难本剧完结(收藏 24581),2014 美剧
21,Homeland,动作/剧情/罪案第7季连载中(收藏 24516),2011 美剧
22,This is Us,剧情/生活第2季连载中(收藏 24498),2016 美剧
23,Modern Family,喜剧第9季连载中(收藏 24321),2009 美剧
24,2 Broke Girls,喜剧本剧完结(收藏 24120),2011 美剧
25,DC's Legends of Tomorrow,动作/科幻/罪案第3季连载中(收藏 24082),2016 美剧
26,The Last Ship,战争/剧情/科幻/悬疑第4季完结(收藏 23999),2014 美剧
27,American Gods,剧情第1季完结(收藏 23981),2017 美剧
28,Narcos,剧情/罪案第3季完结(收藏 23815),2015 美剧
29,Supernatural,魔幻/恐怖/惊悚/冒险第13季连载中(收藏 22574),2005 美剧
30,Lucifer,剧情/魔幻/罪案第3季连载中(收藏 22495),2016 美剧
31,American Horror Story,剧情/恐怖/惊悚/悬疑第7季完结(收藏 22105),2011 美剧
32,Sense8,剧情/科幻第2季完结(收藏 21601),2015 美剧
33,Supergirl,科幻第3季连载中(收藏 21598),2015 美剧
34,Designated Survivor,剧情/悬疑第2季连载中(收藏 20860),2016 美剧
35,The Blacklist,动作/悬疑/谍战/罪案第5季连载中(收藏 20808),2013 美剧
36,Fargo,喜剧/悬疑第3季完结(收藏 20542),2014 美剧
37,UNNATURAL,医务/罪案本剧完结(收藏 20231),2018 日剧
38,The Expanse,科幻准备开播第3季(收藏 20110),2015 美剧
39,Counterpart,剧情/科幻第1季完结(收藏 19887),2018 美剧
40,Star Trek: Discovery,科幻第1季完结(收藏 19690),2017 美剧
41,Billions,剧情第3季连载中(收藏 19335),2016 美剧
42,Elementary,悬疑/罪案第5季完结(收藏 18091),2012 美剧
43,The Punisher,动作/剧情第1季完结(收藏 18019),2017 美剧
44,Inside NO.9,剧情/喜剧第4季完结(收藏 17483),2014 英剧
45,The Deuce,剧情第1季完结(收藏 17046),2017 美剧
46,Altered Carbon,科幻/惊悚/悬疑第1季完结(收藏 16477),2018 美剧
47,Mindhunter,剧情/惊悚第1季完结(收藏 16339),2017 美剧
48,Friends,喜剧/生活本剧完结(收藏 16128),1994 美剧
49,Breaking Bad,剧情本剧完结(收藏 16066),2008 美剧
50,Legion,动作/剧情/科幻第2季连载中(收藏 16052),2017 美剧
